call_index,recording_url,clip_filename,customer_said_in_audio,transcript_showed,turn_number,type,impact,clip_start,clip_end,confidence,error
5,https://grassroots-recording.avishkarai.com/2be54727-2e78-4aa2-ae33-1bda1fdca63d.wav,call_5_issue_1.wav,UPI,UK,3,word,medium,17.0,18.7,high,
3,https://grassroots-recording.avishkarai.com/f6c059d8-6f53-461d-8293-24a5abdc8a1c.wav,call_3_issue_1.wav,सात बज कर चार मिनट,सात बच्चों चार minute,13,word,low,49.4,51.8,high,
1,https://grassroots-recording.avishkarai.com/5d5e53be-a703-4efd-a299-b18f97df3afe.wav,call_1_issue_1.wav,शाम को चार हज़ार रुपए,शाम सौ चार हज़ार रुपए,2,amount,medium,13.7,17.0,high,
2,https://grassroots-recording.avishkarai.com/9dcead83-c6eb-4c13-aa04-aac9d0a7912c.wav,call_2_issue_1.wav,फटा हुआ (torn),"पड़ा हुआ, हटा हुआ, काटा हुआ, फंसा हुआ, सिरा हुआ, पता आया था","2, 4, 8, 26, 32, 35",word,high,11.7,13.7,high,
5,https://grassroots-recording.avishkarai.com/2be54727-2e78-4aa2-ae33-1bda1fdca63d.wav,call_5_issue_2.wav,RRN number,r n number,13,word,medium,81.9,83.8,high,
1,https://grassroots-recording.avishkarai.com/5d5e53be-a703-4efd-a299-b18f97df3afe.wav,call_1_issue_2.wav,break हो रही है,blur हो रही है,"8, 11, 22",word,low,26.5,28.5,high,
2,https://grassroots-recording.avishkarai.com/9dcead83-c6eb-4c13-aa04-aac9d0a7912c.wav,call_2_issue_2.wav,मेरा नाम आकाश है / कार्ड से,मतलब आकाश है?,11,word,medium,56.0,58.0,high,
4,https://grassroots-recording.avishkarai.com/8e693f2e-1f23-4ede-83ce-f7f020556f6a.wav,call_4_issue_1.wav,Doubles पर है triple तीन,Doubles पर है triple तीन,36,number,medium,217.3,219.5,high,
6,https://grassroots-recording.avishkarai.com/3b54ca57-66fc-44d5-a760-87ed2290f21c.wav,call_6_issue_1.wav,43600302,Four three six double zero three zero two,8,number,medium,40.3,43.9,high,
1,https://grassroots-recording.avishkarai.com/5d5e53be-a703-4efd-a299-b18f97df3afe.wav,call_1_issue_3.wav,म्यूट आ रही है / कट रही है,मृत्यु आ रही है,12,word,high,39.7,41.9,high,
7,https://grassroots-recording.avishkarai.com/a38d4cf0-f5c1-4729-9471-800910a3464e.wav,call_7_issue_1.wav,समझे नहीं,संजय नहीं,9,word,low,40.7,42.6,high,
2,https://grassroots-recording.avishkarai.com/9dcead83-c6eb-4c13-aa04-aac9d0a7912c.wav,call_2_issue_3.wav,यहाँ से आपका ब्रांच/एटीएम कितना दूर होगा,meat से आप पार पटम कितना दूर होगा,41,word,high,236.7,239.7,high,
6,https://grassroots-recording.avishkarai.com/3b54ca57-66fc-44d5-a760-87ed2290f21c.wav,call_6_issue_2.wav,नहीं और किसी में,नहीं होगा किसी में,10,word,low,68.3,70.7,high,
9,https://grassroots-recording.avishkarai.com/a766d06b-0efb-477f-9805-dc21c9974557.wav,call_9_issue_1.wav,अड़तालीस घंटे का इंतज़ार करता हूँ,अट्ठाईस घंटा तो करता हूं और रात,8,number,medium,52.0,58.5,medium,
8,https://grassroots-recording.avishkarai.com/71008396-ad14-4e4d-973a-7b7cf990e135.wav,call_8_issue_1.wav,Two five (25),Two five,68-86,number,high,277.3,279.0,high,
11,https://grassroots-recording.avishkarai.com/42b9cd44-c040-455a-8855-686726e42b20.wav,call_11_issue_1.wav,ATM,एक हीMR,7,word,medium,25.3,27.0,high,
9,https://grassroots-recording.avishkarai.com/a766d06b-0efb-477f-9805-dc21c9974557.wav,call_9_issue_2.wav,पैसा आ जाएगा मेरा वापस,बैठा आ जाएगा मेरा बाप से,12,word,high,103.3,105.8,high,
12,https://grassroots-recording.avishkarai.com/a549604b-e1ed-4088-b230-b0ffaf921c45.wav,call_12_issue_1.wav,ATM ID याद नहीं (assumed based on context),ATM आ गया नहीं,10,word,medium,44.9,47.5,high,
10,https://grassroots-recording.avishkarai.com/c24f1ecd-0726-49fc-9cdc-cf29a1604d17.wav,call_10_issue_1.wav,transaction,injection,23,word,medium,135.0,136.5,high,
11,https://grassroots-recording.avishkarai.com/42b9cd44-c040-455a-8855-686726e42b20.wav,call_11_issue_2.wav,ATM ID,ATM RD,8,word,low,43.9,45.7,high,
4,https://grassroots-recording.avishkarai.com/8e693f2e-1f23-4ede-83ce-f7f020556f6a.wav,,अड़तीस... सैंतीस minute में,अड़तीस... सैंतीस minute में,52-65,time,low,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a value at line 1 column 61 [type=json_invalid, input_value='{""start_seconds"": 347.0,...: 353.0, ""found"": true,', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
12,https://grassroots-recording.avishkarai.com/a549604b-e1ed-4088-b230-b0ffaf921c45.wav,call_12_issue_2.wav,अट्ठाईस तारीख दूसरा महीना सन् दो हज़ार छब्बीस,अट्ठाईस तारीख दूसरा महीना सन् दो हज़ार छब्बीस,14,date,low,65.2,69.4,high,
13,https://grassroots-recording.avishkarai.com/7e19fa51-c68d-4d3c-b8de-1300833d9657.wav,call_13_issue_1.wav,four seven one zero double three one eight,four seven one zero double three one eight,14,number,medium,58.3,62.3,high,
11,https://grassroots-recording.avishkarai.com/42b9cd44-c040-455a-8855-686726e42b20.wav,call_11_issue_3.wav,just,chest,15,word,low,87.9,89.3,high,
10,https://grassroots-recording.avishkarai.com/c24f1ecd-0726-49fc-9cdc-cf29a1604d17.wav,call_10_issue_2.wav,Unclear/Background noise,सत्रह हज़ार / चार लाख पचपन हज़ार,19-21,amount,high,123.0,125.0,medium,
15,https://grassroots-recording.avishkarai.com/7b9c5d74-828c-4523-a9fb-87567d77eb44.wav,call_15_issue_1.wav,Four two four zero... [pause] ...six four zero one.,"Bot interrupted, then hallucinated '1 , 2 , 4 , 4 , 5 नहीं था'",8-10,number,high,34.5,41.0,high,
17,https://grassroots-recording.avishkarai.com/1df8dde6-1c03-4e1f-9638-4eca8bdf21dd.wav,call_17_issue_1.wav,ATM से पैसा निकाल रहा था,ATM में पैसा रह रहा हूं ना,7,word,medium,20.7,23.5,high,
14,https://grassroots-recording.avishkarai.com/ed61a36e-d47b-4605-997a-d839106e484c.wav,call_14_issue_1.wav,kal Sunday hai bank kab khulega (assumed),madam कल Sunday है पर मैं खुलेगा,17,word,medium,138.1,142.0,high,
18,https://grassroots-recording.avishkarai.com/3049db7d-dd27-48d4-ad21-e6d855eaa4f7.wav,call_18_issue_1.wav,Four two four two... two five zero four,User split the ID across turns due to bot interruption,8-10,number,high,53.7,58.1,high,
16,https://grassroots-recording.avishkarai.com/93d37295-0cac-4eac-aa0d-f8fad5a11ff3.wav,call_16_issue_1.wav,ये (ye),eight,12,word,low,44.7,46.1,high,
17,https://grassroots-recording.avishkarai.com/1df8dde6-1c03-4e1f-9638-4eca8bdf21dd.wav,call_17_issue_2.wav,कार्ड से कार्ड से,नहीं काट से काट से,13,word,low,40.6,42.8,high,
19,https://grassroots-recording.avishkarai.com/a7eef78f-5817-4879-a505-9666e8063941.wav,call_19_issue_1.wav,"Unclear, likely 'सत्रह फरवरी'",पिछले सौ सत्तर फ़ल पहले पहले मेरी बात तो यह सत्रह फ़ल पैसा,7,date,medium,30.7,32.9,high,
16,https://grassroots-recording.avishkarai.com/93d37295-0cac-4eac-aa0d-f8fad5a11ff3.wav,call_16_issue_2.wav,मैं बता रहा,मैं बताना,16,word,low,154.4,156.2,high,
20,https://grassroots-recording.avishkarai.com/5b8bd2fb-4039-41f8-8700-5d657df9a5e4.wav,call_20_issue_1.wav,"हज़ार रुपए, 10 बज के 20 मिनट पे",हज़ार रुपए दे दो दस दस के बीस minute में.,19,time,high,68.9,73.1,high,
19,https://grassroots-recording.avishkarai.com/a7eef78f-5817-4879-a505-9666e8063941.wav,call_19_issue_2.wav,"Unclear, likely mocking the bot's 'चिंता वाली बात'",अरे चिट्ठा वाली बात है ही है.,5,word,low,23.5,26.2,high,
21,https://grassroots-recording.avishkarai.com/bf12a786-8862-4156-bba0-642a7c8a477d.wav,call_21_issue_1.wav,Double two five one,Double दो path one,27,number,medium,87.8,90.0,high,
22,https://grassroots-recording.avishkarai.com/dab1b81f-c729-4069-8458-65cc2716eaae.wav,call_22_issue_1.wav,"Unclear, likely asking for customer care or questioning the resolution",वह. होगा नहीं मैं question देख रही हूं.,6,word,medium,53.0,111.0,medium,
23,https://grassroots-recording.avishkarai.com/f1547191-539c-442a-ab9f-a7c0845de2c9.wav,call_23_issue_1.wav,सत्रह फरवरी दस बजे...,सत्रह फरवरी दस बज,2,time,high,13.5,16.5,high,
24,https://grassroots-recording.avishkarai.com/219b3fcc-afa5-4515-80e7-ef28795b3300.wav,call_24_issue_1.wav,hum scan karke,हम send करके,2,word,high,12.7,15.3,high,
20,https://grassroots-recording.avishkarai.com/5b8bd2fb-4039-41f8-8700-5d657df9a5e4.wav,call_20_issue_2.wav,बैंक से नहीं मिला / कैश नहीं मिला,वह. यह tank नहीं मिला.,26,word,medium,145.5,148.0,high,
14,https://grassroots-recording.avishkarai.com/ed61a36e-d47b-4605-997a-d839106e484c.wav,call_14_issue_2.wav,kya rula diya humko (assumed),क्या रुक गया हमको?,23,word,low,122.7,125.0,high,
24,https://grassroots-recording.avishkarai.com/219b3fcc-afa5-4515-80e7-ef28795b3300.wav,call_24_issue_2.wav,ATM par na,देश पर ना,4,word,low,16.7,18.7,high,
21,https://grassroots-recording.avishkarai.com/bf12a786-8862-4156-bba0-642a7c8a477d.wav,call_21_issue_2.wav,अधिकारी से बात करवाओ,जो अधिकार करते हैं ना उसको पिता,38,word,high,158.3,160.7,high,
26,https://grassroots-recording.avishkarai.com/ae617790-344b-4b01-9e77-74a6db75df09.wav,call_26_issue_1.wav,ATM se paisa nikal rahe the,ATM se paisa hi kha rahe the,3,word,low,13.7,18.0,high,
14,https://grassroots-recording.avishkarai.com/ed61a36e-d47b-4605-997a-d839106e484c.wav,call_14_issue_3.wav,aur koi sawal nahi hai (assumed),Madam अब कोई जो नुकसान नहीं है.,27,word,medium,144.9,148.0,high,
24,https://grassroots-recording.avishkarai.com/219b3fcc-afa5-4515-80e7-ef28795b3300.wav,call_24_issue_3.wav,waha se paisa nahi nikla,हां हर एक कड़ी आने से पैसा नहीं निकला,6,word,medium,18.3,22.0,high,
28,https://grassroots-recording.avishkarai.com/a9c8cd5f-f1cf-4108-9d5a-84b0ee4c42e4.wav,call_28_issue_1.wav,चार हज़ार (inferred),सालो हज़ार,8,amount,high,21.9,23.9,high,
25,https://grassroots-recording.avishkarai.com/3aba37fc-7b09-4529-9bec-78ddfa086d92.wav,call_25_issue_1.wav,double four,"double four -> 2, 4","71, 73",number,high,200.7,202.5,high,
26,https://grassroots-recording.avishkarai.com/ae617790-344b-4b01-9e77-74a6db75df09.wav,call_26_issue_2.wav,Two... char do char zero... panch teen zero chhah,"Two... चार दो चार zero... पांच, तीन, zero, छह.",13-17,number,high,117.7,134.3,high,
29,https://grassroots-recording.avishkarai.com/4248b697-df86-4405-b804-9e7fc02c584b.wav,call_29_issue_1.wav,four five four zero five four three three,"Fragmented captures across multiple turns (5433, 405433, 45, 4540)",12-24,number,high,134.3,137.7,high,
30,https://grassroots-recording.avishkarai.com/25a829bc-1e34-45db-826b-3c9beec2f806.wav,call_30_issue_1.wav,Unclear/Background noise or 'Accha',Text?,5,word,low,48.0,51.0,high,
28,https://grassroots-recording.avishkarai.com/a9c8cd5f-f1cf-4108-9d5a-84b0ee4c42e4.wav,call_28_issue_2.wav,ATM ID,Area ID,41,word,medium,2.22,2.3,high,
32,https://grassroots-recording.avishkarai.com/cafe10e4-da50-4f6e-bc7d-66fe8e2d4193.wav,call_32_issue_1.wav,Unclear/Background noise,Gmail से.,14,word,medium,91.5,93.5,high,
34,https://grassroots-recording.avishkarai.com/edf2ebfb-1272-4d48-8e4d-bfa7b1adc0bb.wav,call_34_issue_1.wav,cash issue,cash soup,3,word,low,14.3,16.3,high,
31,https://grassroots-recording.avishkarai.com/650f1764-8f55-4d85-b349-350a00117305.wav,call_31_issue_1.wav,One minute,One,11,word,high,63.9,65.5,high,
35,https://grassroots-recording.avishkarai.com/beff4247-fcdc-416d-9c8d-6cdd770a8b5a.wav,call_35_issue_1.wav,Unknown (likely a location or 'kal'),Tila,2,word,low,13.6,15.1,high,
